latitude,longitude,timezone,elevation
-23.6,-70.4,-4,1000
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Temperature,Wind Speed
2000,3,27,10,0,470.75000000000006,600.6166666666667,23.616666666666664,21.0,1.9
2000,3,27,11,0,522.6166666666667,684.3499999999999,26.775,23.2,4.7
2000,3,27,12,0,554.7333333333335,761.0583333333333,29.60833333333333,24.9,6.9
2000,3,27,13,0,565.6083333333335,818.5416666666666,31.616666666666664,24.1,8.0
2000,3,27,14,0,564.8083333333334,818.5416666666666,30.816666666666663,22.5,8.2
2000,3,27,15,0,542.8000000000001,747.7916666666666,28.274999999999995,21.3,8.0
2000,3,27,16,0,542.8000000000001,747.7916666666666,28.274999999999995,19.4,7.5
2000,3,27,17,0,481.8583333333334,661.7166666666666,25.016666666666666,16.7,6.0
2000,3,27,18,0,407.4333333333334,573.2583333333332,21.63333333333333,14.7,4.3
2000,3,27,19,0,325.2333333333334,483.7333333333333,18.191666666666663,13.6,2.7
2000,3,27,20,0,241.54166666666677,394.0583333333332,14.741666666666667,12.7,1.7
2000,3,27,21,0,162.75000000000009,305.0999999999999,11.325,11.8,1.7
2000,3,27,22,0,94.8583333333334,217.92499999999995,8.0,11.0,1.6
2000,3,27,23,0,42.99166666666674,134.19166666666663,4.841666666666667,10.3,1.2
2000,3,28,0,0,10.875000000000076,57.48333333333329,2.0083333333333333,9.5,1.5
2000,3,28,1,0,0.0,0.0,0.0,8.7,1.8
2000,3,28,2,0,0.7750000000000759,0.0,0.775,8.2,2.1
2000,3,28,3,0,22.57500000000008,70.4333333333333,3.3166666666666664,7.8,2.8
2000,3,28,4,0,22.57500000000008,70.4333333333333,3.3166666666666664,7.2,3.3
2000,3,28,5,0,22.57500000000008,70.4333333333333,3.3166666666666664,6.3,3.7
2000,3,28,6,0,96.5583333333334,158.61666666666665,6.7,7.9,3.4
2000,3,28,7,0,178.2083333333334,247.8083333333333,10.133333333333336,10.9,3.1
2000,3,28,8,0,261.2666666666667,337.09166666666664,13.575,14.8,2.3
2000,3,28,9,0,339.3666666666668,425.5916666666666,16.983333333333334,17.566666666666666,3.4333333333333336
2000,3,28,10,0,406.6416666666667,512.375,20.308333333333334,20.333333333333336,4.566666666666666
2000,3,28,11,0,457.9750000000001,595.725,23.45833333333333,23.1,5.7
2000,3,28,12,0,489.63333333333344,672.0416666666666,26.275,24.5,7.8
2000,3,28,13,0,500.13333333333344,728.6999999999999,28.258333333333336,23.2,8.7
2000,3,28,14,0,499.3583333333334,728.6999999999999,27.48333333333333,22.3,8.5
2000,3,28,15,0,477.5583333333335,658.2666666666667,24.941666666666663,21.3,8.1
2000,3,28,16,0,477.5583333333335,658.2666666666667,24.941666666666663,19.8,7.2
2000,3,28,17,0,477.5583333333335,658.2666666666667,24.941666666666663,17.6,5.8
2000,3,28,18,0,403.5750000000001,570.0833333333334,21.558333333333337,15.4,4.0
2000,3,28,19,0,321.92500000000007,480.89166666666665,18.125,13.9,2.3
2000,3,28,20,0,238.8666666666667,391.6083333333333,14.683333333333332,12.8,1.5
2000,3,28,21,0,160.76666666666674,303.1083333333333,11.275,12.0,1.4
2000,3,28,22,0,93.49166666666676,216.325,7.949999999999999,11.5,1.7
2000,3,28,23,0,42.15833333333341,132.97499999999994,4.8,11.1,1.6
2000,3,29,0,0,10.500000000000076,56.658333333333296,1.9833333333333332,10.7,2.0
2000,3,29,1,0,0.0,0.0,0.0,10.0,2.4
2000,3,29,2,0,10.879166666666745,35.370833333333294,1.2666666666666666,9.2,2.9
2000,3,29,3,0,32.63750000000008,106.11249999999995,3.8,8.1,3.2
2000,3,29,4,0,75.31250000000007,187.6458333333333,6.824999999999999,7.1,3.4
2000,3,29,5,0,136.05416666666676,273.9708333333333,10.083333333333334,6.0,3.8
2000,3,29,6,0,210.31250000000009,362.7625,13.466666666666669,7.4,3.6
2000,3,29,7,0,292.3375000000001,452.6708333333333,16.90833333333333,11.3,2.7
2000,3,29,8,0,375.8458333333335,542.7708333333334,20.35833333333333,15.2,1.8
2000,3,29,9,0,454.4208333333334,632.1875,23.775,18.6,0.7
2000,3,29,10,0,522.1791666666668,720.0625,27.1,21.6,3.3
2000,3,29,11,0,573.9375000000001,804.7125,30.25833333333333,23.3,6.1
2000,3,29,12,0,605.8625000000001,882.5291666666667,33.083333333333336,24.8,8.1
2000,3,29,13,0,616.2125000000001,939.8375,35.05,24.1,8.9
2000,3,29,14,0,605.3333333333334,904.4666666666666,33.78333333333333,23.0,9.0
2000,3,29,15,0,583.5750000000002,833.7249999999999,31.25,21.8,8.4
2000,3,29,16,0,540.9000000000001,752.1916666666666,28.225,20.2,7.3
2000,3,29,17,0,480.1583333333335,665.8666666666667,24.966666666666665,18.3,5.6
2000,3,29,18,0,405.9000000000001,577.0749999999999,21.58333333333333,16.0,3.3
2000,3,29,19,0,323.87500000000006,487.1666666666667,18.14166666666667,14.8,1.9
2000,3,29,20,0,240.3666666666668,397.0666666666666,14.691666666666668,13.8,1.3
2000,3,29,21,0,161.79166666666677,307.65,11.275,12.8,1.4
2000,3,29,22,0,94.03333333333342,219.77499999999995,7.95,12.4,1.9
2000,3,29,23,0,42.27500000000008,135.12499999999997,4.791666666666667,12.2,2.1
2000,3,30,0,0,10.350000000000083,57.3083333333333,1.9666666666666668,11.6,2.1
2000,3,30,1,0,0.0,0.0,0.0,11.2,2.4
2000,3,30,2,0,0.7333333333334187,0.0,0.7333333333333334,10.5,2.5
2000,3,30,3,0,22.78333333333342,72.19166666666662,3.275,8.7,3.0
2000,3,30,4,0,65.85833333333342,154.84999999999994,6.308333333333334,7.8,3.1
2000,3,30,5,0,126.96666666666674,241.99166666666665,9.566666666666668,7.4,3.2
2000,3,30,6,0,201.45000000000007,331.3583333333333,12.95,6.2,4.1
2000,3,30,7,0,283.6583333333334,421.7833333333333,16.383333333333336,9.0,4.1
2000,3,30,8,0,367.2750000000001,512.3333333333334,19.825,13.7,2.9
2000,3,30,9,0,445.87500000000006,602.1666666666666,23.23333333333333,17.2,0.9
2000,3,30,10,0,513.6166666666667,690.4666666666666,26.55,19.7,3.4
2000,3,30,11,0,565.3000000000001,775.5666666666666,29.7,21.0,6.1
2000,3,30,12,0,597.0666666666667,853.8249999999999,32.50833333333333,22.6,7.7
2000,3,30,13,0,607.2750000000001,911.8416666666668,34.458333333333336,24.1,8.1
2000,3,30,14,0,606.5416666666667,911.8416666666668,33.725,23.0,8.2
2000,3,30,15,0,584.4916666666668,839.6500000000001,31.183333333333334,21.1,8.0
2000,3,30,16,0,541.4166666666667,756.9916666666667,28.15,19.2,7.4
2000,3,30,17,0,480.3083333333334,669.85,24.891666666666666,17.1,5.9
2000,3,30,18,0,405.8250000000001,580.4833333333332,21.508333333333336,14.7,3.7
2000,3,30,19,0,323.6166666666668,490.0583333333332,18.075,13.4,1.6
2000,3,30,20,0,240.0000000000001,399.50833333333327,14.633333333333333,12.3,0.6
2000,3,30,21,0,161.40000000000006,309.67499999999995,11.225,11.1,1.7
2000,3,30,22,0,93.65833333333342,221.375,7.908333333333334,10.4,2.3
2000,3,30,23,0,41.97500000000009,136.27499999999998,4.758333333333334,10.1,2.7
2000,3,31,0,0,10.20833333333342,58.01666666666663,1.95,11.2,1.8
2000,3,31,1,0,0.0,0.0,0.0,10.6,2.1
2000,3,31,2,0,0.7083333333334186,0.0,0.7083333333333334,9.5,2.3
2000,3,31,3,0,22.725000000000083,72.4583333333333,3.266666666666667,8.4,2.5
2000,3,31,4,0,65.89166666666675,155.5833333333333,6.316666666666666,7.3,2.5
2000,3,31,5,0,127.2583333333334,243.375,9.6,5.8,3.1
2000,3,31,6,0,202.17500000000007,333.54166666666663,13.0,7.9,3.2
2000,3,31,7,0,284.8500000000001,424.75833333333327,16.458333333333332,10.8,3.1
2000,3,31,8,0,368.9250000000001,516.125,19.925,15.3,1.8
2000,3,31,9,0,447.9416666666668,606.7916666666666,23.35833333333333,18.9,0.4
2000,3,31,10,0,515.9000000000001,695.7999999999998,26.7,21.8,2.5
2000,3,31,11,0,567.5916666666668,781.4499999999999,29.866666666666664,23.3,5.2
2000,3,31,12,0,599.2,860.0333333333333,32.69166666666667,25.2,7.1
2000,3,31,13,0,599.2,860.0333333333333,32.69166666666667,24.4,7.9
2000,3,31,14,0,598.4916666666667,860.0333333333333,31.98333333333333,23.4,8.0
2000,3,31,15,0,576.475,787.5749999999999,29.425,22.0,7.9
2000,3,31,16,0,533.3083333333334,704.4499999999999,26.375,20.4,7.0
2000,3,31,17,0,471.94166666666666,616.6583333333333,23.09166666666667,17.8,5.7
2000,3,31,18,0,397.025,526.4916666666667,19.691666666666663,-15.6,-3.8
2000,3,31,19,0,439.3500000000001,560.275,141.23333333333332,14.0,2.6
2000,3,31,20,0,355.2750000000001,468.9083333333333,137.76666666666668,12.8,2.0
2000,3,31,21,0,276.2583333333334,378.2416666666666,134.33333333333334,11.7,1.6
2000,3,31,22,0,208.30000000000007,289.2333333333333,130.99166666666665,11.1,1.4
2000,3,31,23,0,156.60833333333343,203.5833333333333,127.825,10.5,1.6
2000,4,1,0,0,125.00000000000009,124.99999999999996,125.0,70.0,55.0
2000,4,1,1,0,125.00000000000009,124.99999999999996,125.0,10.1,1.9
2000,4,1,2,0,125.6833333333334,124.99999999999996,125.68333333333334,9.1,2.5
2000,4,1,3,0,147.67500000000007,197.8416666666666,128.23333333333332,8.0,3.1
2000,4,1,4,0,189.42083333333343,278.4125,131.14583333333334,7.1,2.8
2000,4,1,5,0,250.92083333333343,366.7124999999999,134.42083333333332,5.6,3.0
2000,4,1,6,0,326.0458333333334,457.44583333333327,137.82083333333333,7.6,2.8
2000,4,1,7,0,283.77916666666675,424.0374999999999,16.270833333333332,11.1,2.6
2000,4,1,8,0,367.7458333333334,515.6208333333333,19.729166666666668,16.0,1.8
2000,4,1,9,0,446.4875,606.3541666666666,23.14583333333333,20.15,2.55
2000,4,1,10,0,514.0791666666668,695.3208333333332,26.47083333333333,24.3,3.3
2000,4,1,11,0,565.3541666666667,780.8208333333332,29.620833333333334,26.5,5.6
2000,4,1,12,0,596.5291666666667,859.0875,32.42916666666667,25.6,7.4
2000,4,1,13,0,606.1625,916.3875,34.3375,24.3,8.2
2000,4,1,14,0,605.4791666666667,916.3875,33.65416666666667,22.9,8.2
2000,4,1,15,0,583.4875000000001,843.5458333333332,31.104166666666668,21.8,7.7
2000,4,1,16,0,541.7416666666667,762.9749999999999,28.191666666666663,19.9,6.9
2000,4,1,17,0,480.24166666666673,674.675,24.916666666666668,17.2,5.3
2000,4,1,18,0,405.11666666666673,583.9416666666666,21.51666666666667,15.3,3.5
2000,4,1,19,0,322.3833333333334,492.3499999999999,18.066666666666663,13.9,2.3
2000,4,1,20,0,238.41666666666677,400.7666666666666,14.608333333333333,12.7,2.0
2000,4,1,21,0,159.67500000000007,310.0333333333333,11.191666666666665,11.5,1.4
2000,4,1,22,0,92.0833333333334,221.06666666666663,7.866666666666667,10.6,0.8
2000,4,1,23,0,40.808333333333415,135.56666666666663,4.716666666666667,10.0,0.8
2000,4,2,0,0,134.6333333333334,182.29999999999995,126.90833333333336,8.7,1.1
